seed,t,T,algorithm,revenue,regret_cumulative,simple_regret,opt_joint_oracle,opt_indep_product_surrogate,gap_joint_minus_indep_product,a0,a1,a2,a3,a4,a5,recommendation_revenue,recommendation_simple_regret,recommendation_a0,recommendation_a1,recommendation_a2,recommendation_a3,recommendation_a4,recommendation_a5,played_revenue,played_simple_regret,played_regret_cumulative
0,4,50,BPE-Iso-Mat12,1.0574947459563149,11.40051342149136,2.542505254043686,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,1.0,1.0,0.0,0.75,1.0,1.0574947459563149,2.542505254043686,0.0,1.0,1.0,0.0,0.75,1.0,1.0574947459563149,2.542505254043686,11.40051342149136
0,4,50,HGP-UCB-CPP,1.4951685698196853,9.243900278903412,2.1048314301803153,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.75,0.75,0.5,0.5,1.4951685698196853,2.1048314301803153,0.5,0.5,0.75,0.75,0.5,0.5,1.4951685698196853,2.1048314301803153,9.243900278903412
0,4,50,BZ-ETC,2.6217185201210853,7.544512573015926,0.9782814798789152,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,1.0,0.25,0.0,0.5,1.0,2.6217185201210853,0.9782814798789152,0.25,1.0,0.25,0.0,0.5,1.0,2.6217185201210853,0.9782814798789152,7.544512573015926
0,4,50,SPSA,2.1173952118218686,5.930419152712528,1.482604788178132,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,5.930419152712528
0,4,50,Kleinberg,1.4976566037757384,9.884728500014345,2.102343396224262,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.75,1.0,0.5,0.5,1.4976566037757384,2.102343396224262,0.5,0.5,0.75,1.0,0.5,0.5,1.4976566037757384,2.102343396224262,9.884728500014345
0,4,50,Univariate,1.2939798835924214,11.012312282641753,2.306020116407579,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,0.25,0.5,0.5,1.0,1.0,1.2939798835924214,2.306020116407579,0.25,0.25,0.5,0.5,1.0,1.0,1.2939798835924214,2.306020116407579,11.012312282641753
0,5,50,DMS-X0-BPE,2.2634325324978746,9.07970663337672,1.336567467502126,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.25,0.25,0.5,0.5,0.75,0.6000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2.2634325324978746,1.336567467502126,9.07970663337672
0,5,50,Joint-DMS-GP-UCB,1.6159397056090428,10.535101981951081,1.9840602943909578,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.5,0.5,0.75,0.0,0.75,1.6159397056090428,1.9840602943909578,1.0,0.5,0.5,0.75,0.0,0.75,1.6159397056090428,1.9840602943909578,10.535101981951081
0,5,50,GP-UCB-Iso-Mat12,1.3860514714982075,11.429496285444458,2.213948528501793,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.75,0.25,1.0,0.75,0.0,1.3860514714982075,2.213948528501793,0.75,0.75,0.25,1.0,0.75,0.0,1.3860514714982075,2.213948528501793,11.429496285444458
0,5,50,BPE-Iso-Mat12,1.103026388826143,13.897487032665218,2.496973611173858,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,1.0,1.0,0.75,1.0,1.0,1.103026388826143,2.496973611173858,0.5,1.0,1.0,0.75,1.0,1.0,1.103026388826143,2.496973611173858,13.897487032665218
0,5,50,HGP-UCB-CPP,1.3671718129658625,11.476728465937551,2.232828187034138,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.25,0.25,0.75,0.75,1.3671718129658625,2.232828187034138,0.5,0.5,0.25,0.25,0.75,0.75,1.3671718129658625,2.232828187034138,11.476728465937551
0,5,50,BZ-ETC,0.48896621926050093,10.655546353755426,3.1110337807394997,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.0,0.75,0.25,1.0,0.25,0.48896621926050093,3.1110337807394997,0.5,0.0,0.75,0.25,1.0,0.25,0.48896621926050093,3.1110337807394997,10.655546353755426
0,5,50,SPSA,2.1173952118218686,7.4130239408906595,1.482604788178132,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,7.4130239408906595
0,5,50,Kleinberg,0.725077798807586,12.759650701206759,2.8749222011924145,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.75,0.5,0.5,0.75,0.75,0.725077798807586,2.8749222011924145,1.0,0.75,0.5,0.5,0.75,0.75,0.725077798807586,2.8749222011924145,12.759650701206759
0,5,50,Univariate,1.6423696975536628,12.969942585088091,1.9576303024463377,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.75,0.75,0.75,0.5,0.5,1.6423696975536628,1.9576303024463377,0.5,0.75,0.75,0.75,0.5,0.5,1.6423696975536628,1.9576303024463377,12.969942585088091
0,6,50,DMS-X0-BPE,1.5671718129658627,11.112534820410858,2.032828187034138,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.25,0.5,0.75,0.75,0.6000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.5671718129658627,2.032828187034138,11.112534820410858
0,6,50,Joint-DMS-GP-UCB,1.4335034821111377,12.701598499839944,2.166496517888863,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,0.0,0.75,1.0,0.25,0.75,1.4335034821111377,2.166496517888863,0.25,0.0,0.75,1.0,0.25,0.75,1.4335034821111377,2.166496517888863,12.701598499839944
